DSQFL,DSQ, Bairro ,Rua,Número,Tipo de Empreendimento,Area Total Construida,Situação,Restaurantes e cafés,Nome Edifício,Nº Pavimentos em Uso,Disponibilidade,Atividade de Funcionamento,Grau de Risco,Laudo,Acessibilidade,Pichação,Observações,Proprietário Localizado,Investimento,Tributação,Autorização de Informação,Proprietário Cartório,Proprietário Campo,Contato Proprietário,Coincidência Proprietário,Uso do Imóvel,Valor do Aluguel,Valor de Venda,latitude,longitude,latlong,latitude_,longitude_
11455005040021,11455005,Recife,Avenida Alfredo Lisboa,0,,"0,00",Porto do Recife,,Porto do Recife,,,,,,,,,,,,,,,,,,,,"-8,05537","-34,86908","-8.05537,-34.86908",-8.05537,-34.86908
11455005040029,11455005,Recife,Avenida Alfredo Lisboa,0,,"0,00",Porto do Recife,,Porto do Recife,,,,,,,,,,,,,,,,,,,,"-8,05383","-34,86907","-8.05383,-34.86907",-8.05383,-34.86907
11455005040002,11455005,Recife,Avenida Alfredo Lisboa,2,Edificação Especial,"3.056,21",Aberto,,Centro de Artesanato,,,,,,,,,,,,,,,,,,,,"-8,06224","-34,87069","-8.06224,-34.87069",-8.06224,-34.87069
11455005040004,11455005,Recife,Avenida Alfredo Lisboa,4,Edificação Especial,"7.580,20",Aberto,"Cais Rooftop, Disponível (era o Meat)",Cais do Sertão,,,,,,,,,,,,,,,,,,,,"-8,06074","-34,87016","-8.06074,-34.87016",-8.06074,-34.87016
11455005040009,11455005,Recife,Avenida Alfredo Lisboa,9,Edifício Comercial/Serviços,"5.302,44",Aberto,,,,,,,,,,,,,,,,,,,,,,"-8,05920","-34,86961","-8.05920,-34.86961",-8.05920,-34.86961
11455186040012,11455186,Recife,Avenida Alfredo Lisboa,12,EDIFÍCIO COMERCIAL/SERVIÇOS,"4.156,00",Aberto,"Seu Boteco, Rock and Ribs, Love Japan",,,,,,,,,,,,,,,,,,,,,"-8,06403","-34,87148","-8.06403,-34.87148",-8.06403,-34.87148
11455005040012,11455005,Recife,Avenida Alfredo Lisboa,12,Edificação Especial,"1.827,00",Porto do Recife,,,,,,,,,,,,,,,,,,,,,,"-8,05816","-34,86925","-8.05816,-34.86925",-8.05816,-34.86925
11455186040013,11455186,Recife,Avenida Alfredo Lisboa,13,EDIFÍCIO COMERCIAL/SERVIÇOS,"4.041,40",Aberto,Matrix Music Pub,,,,Armazém,,,,,,,,,,,,,,,,,"-8,06486","-34,87191","-8.06486,-34.87191",-8.06486,-34.87191
11455186040014,11455186,Recife,Avenida Alfredo Lisboa,14,EDIFICAÇÃO ESPECIAL,"5.694,70",Aberto,,,,,Armazém Itaipava,,,,,,,,,,,,,,,,,"-8,06632","-34,87274","-8.06632,-34.87274",-8.06632,-34.87274
11455005040015,11455005,Recife,Avenida Alfredo Lisboa,15,Edificação Especial,"5.135,36",Porto do Recife,,,,,,,,,,,,,,,,,,,,,,"-8,05695","-34,86926","-8.05695,-34.86926",-8.05695,-34.86926
